sala;pagina;1a;1b;1c;1d;1e;1f;1g;2a;2b;2c;2d;2e;2f;3a;3b;3c;4a;4b;4c;4d;4e;4f;6a;6b
sala_04;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
sala_04;3;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1
sala_04;4;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
sala_04;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1
sala_04;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_04;7;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_04;8;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
sala_04;9;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
sala_04;10;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
sala_04;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
sala_04;12;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
sala_05;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0
sala_05;2;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0
sala_05;3;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1
sala_05;4;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1
sala_05;5;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;0;1;1
sala_05;6;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1
sala_05;7;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1
sala_05;8;0;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1
sala_05;9;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1
sala_05;10;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1
sala_05;11;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1
sala_05;12;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1
sala_05;13;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1
sala_05;14;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1
sala_05;15;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1
sala_05;16;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1
sala_05;17;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1
sala_05;18;0;1;1;0;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1
sala_05;19;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1
sala_05;20;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;1
sala_05;21;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_05;22;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1
sala_05;23;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1
sala_05;24;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1
sala_06;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
sala_06;2;0;0;1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1
sala_06;3;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
sala_06;4;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
sala_06;5;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1
sala_06;6;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
sala_06;7;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_06;8;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1
sala_06;9;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1
sala_06;10;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
sala_06;11;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
sala_06;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
sala_06;13;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1
sala_06;14;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1
sala_06;15;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
sala_07;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1
sala_07;2;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0
sala_07;3;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;0
sala_07;4;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1
sala_07;5;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
sala_07;6;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1
sala_07;7;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
sala_07;8;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1
sala_07;9;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_07;10;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
sala_07;11;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1
sala_07;12;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0
sala_07;13;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
sala_07;14;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_07;15;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
sala_07;16;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1
sala_07;17;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
sala_08;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1
sala_08;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_08;3;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
sala_08;4;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1
sala_08;5;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
sala_08;6;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0
sala_08;7;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1
sala_08;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
sala_08;9;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0
sala_08;10;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_08;11;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
sala_08;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
sala_08;13;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1
sala_08;14;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
sala_08;15;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_08;16;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
sala_08;17;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
sala_08;18;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1
sala_08;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_08;20;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1
sala_08;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
sala_08;22;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1
sala_08;23;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
sala_08;24;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0
sala_08;25;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1
sala_09;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
sala_09;2;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
sala_09;3;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1
sala_09;4;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1
sala_09;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
sala_09;6;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_09;7;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
sala_09;8;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0
sala_09;9;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1
sala_09;10;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
sala_09;11;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
sala_09;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_09;13;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
sala_09;14;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1
sala_09;15;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
sala_09;16;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
sala_09;17;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1
sala_09;18;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0
sala_09;19;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
sala_09;20;0;0;1;1;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0
sala_09;21;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1
sala_09;22;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_09;23;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1
sala_10;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
sala_10;2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1
sala_10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
sala_10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
sala_10;5;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1
sala_10;6;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1
sala_10;7;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1
sala_10;8;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1
sala_10;9;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_10;10;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_10;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
sala_10;12;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
sala_10;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
sala_10;14;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
sala_10;15;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
sala_10;16;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
sala_10;17;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1
sala_10;18;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
sala_10;19;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1
sala_10;20;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
sala_10;21;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1
sala_10;22;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0
sala_10;23;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0
sala_10;24;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
sala_10;25;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1
sala_10;26;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;1;1;0
sala_10;27;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1
